Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-30 14:30:04 EST,1/30/2022,14:30:04,Link,99,46,20,4,0,9,17,2,1,0,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161628625828128,"Recent market turmoil doesn’t mean the economy is about to be derailed, but rather that the recovery no longer needs low interest rates.",https://on.wsj.com/32MG7ae,https://www.wsj.com/articles/stock-market-jitters-dont-endanger-economy-yet-11643547602,,Stock Market Jitters Don’t Endanger Economy Yet,,,,,1.19
Fidelity Investments,fidelityinvestments,2.4176E+11,BROKERAGE,US,Please refer to the Commenting Guidelines for important information about your participation on this Page and Fidelity's presence on Facebook: https://go.fidelity.com/FacebookGuidelines ,12/14/2009 16:15,2022-01-30 10:59:36 EST,1/30/2022,10:59:36,Photo,8,6,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/241760048297/posts/10162012892228298,"Seller’s remorse? If you recently sold a stock you are thinking about buying back, be mindful to avoid this tax pitfall: https://go.fidelity.com/bmbt49:=:https://www.fidelity.com/learning-center/personal-finance/wash-sales-rules-tax",https://www.facebook.com/fidelityinvestments/photos/a.10150385333468298/10162012892228298/?type=3,,BUYING BACK A STOCK YOU SOLD PAYING TAXES Fidelity,Timeline photos,,,,,-3.38
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-29 08:00:39 EST,1/29/2022,8:00:39,Link,24,15,4,1,1,0,3,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161626131898128,"Bracing for the crunch of higher interest rates, investors are shifting money to places that make them feel safer. Hint: It isn't the stock market.",https://on.wsj.com/3Hr5Y6N,https://www.wsj.com/articles/behind-the-stock-market-turmoil-a-high-speed-investor-u-turn-11643305162,,Behind the Stock Market Turmoil: A High-Speed Investor U-Turn,,,,,-9.12
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-28 11:40:07 EST,1/28/2022,11:40:07,Link,149,120,7,1,0,8,7,3,2,1,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161624752638128,"There’s nothing abnormal about the way stocks have been behaving the past few weeks. It was the calm of the prior year that was abnormal, says investing columnist Jason Zweig.",https://on.wsj.com/33RZqj3,https://www.wsj.com/articles/what-to-do-when-the-stock-market-gets-crazy-11643385571,,The Two Things to Do When the Stock Market Gets Crazy,Turbulent times can cause investors to make decisions they’ll later regret. Here’s how to stay afloat in these choppy waters without sinking your future.,,,,-1.61
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-28 11:00:50 EST,1/28/2022,11:00:50,Link,726,343,94,13,8,49,198,16,3,2,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161624701233128,"Gabe Plotkin’s hedge fund, Melvin, lost $6.8 billion in one month during the meme-stock rally. One year later, he’s still trying to make it back.",https://on.wsj.com/3g61tCq,https://www.wsj.com/articles/melvin-plotkin-gamestop-losses-memestock-11643381321,,Hedge Fund Melvin Lost $6.8 Billion in a Month. Winning It Back Is Taking a Lot Longer.,"Melvin Capital Management founder Gabe Plotkin’s bets against GameStop and other stocks backfired, leaving the hedge fund down 54.5% last January. The rocky road back has been marred by fresh losses this year.",,,,3.02
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-28 09:00:28 EST,1/28/2022,9:00:28,Link,39,27,9,2,0,0,0,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161624536023128,"In it for the long haul. Done with the meme scene. Converting a skeptical spouse. Months after interviewing them in 2021, we checked back in with some of the investors who went all-in on meme stocks. Here’s how they’re doing now.",https://on.wsj.com/3KPY3lm,https://www.wsj.com/articles/where-six-meme-stock-investors-are-now-11643365810,,Where Six Meme Stock Investors Are Now,A massive influx of small-time traders caused shares of some companies to go haywire last year. We checked back in with some who were riding the meme-stock wave in 2021 to see where they—and their portfolios—stand amid a new bout of market turbulence.,,,,-6.15
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-28 07:30:13 EST,1/28/2022,7:30:13,Link,42,24,9,2,0,0,7,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161624397978128,"On January 28, 2021, Robinhood and other brokerages banned their users from buying ""meme stocks."" That set off a ‘revolution’ that has changed Wall Street.",https://on.wsj.com/34jzBIt,https://www.wsj.com/video/how-the-meme-stock-revolution-has-left-markets-changed-a-year-later/D3E07DD6-5671-43F4-964A-ACD6360FEF49.html,,Watch: How the Meme Stock ‘Revolution’ Has Left Markets Changed A Year Later,"Amateur investors took the stock market by storm a year ago, buying up shares of meme stocks like GameStop and AMC Entertainment. Many remember it as a revolution against Wall Street, but in the end, they largely just lined the pockets of major financial firms. WSJ’s Dion Rabouin explains. Illustr...",,,,-5.71
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-27 14:30:21 EST,1/27/2022,14:30:21,Link,68,37,13,5,0,0,1,4,8,0,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161623141303128,"Bracing for the crunch of higher interest rates, investors are shifting money to places that make them feel safer. Hint: It isn't the stock market.",https://on.wsj.com/3H3gv7M,https://www.wsj.com/articles/behind-the-stock-market-turmoil-a-high-speed-investor-u-turn-11643305162,,Behind the Stock Market Turmoil: A High-Speed Investor U-Turn,,,,,-3.97
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-26 12:00:13 EST,1/26/2022,12:00:13,Link,91,57,11,4,2,5,7,2,3,0,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161620842843128,A long bull market and low bond yields have pushed many retirees to keep money in the stock market. The past week has tested that strategy.,https://on.wsj.com/33WjKQ1,https://www.wsj.com/articles/older-investors-have-a-lot-of-money-in-stocks-how-to-check-if-its-too-much-11643215304,,Older Investors Have a Lot of Money In Stocks. How to Check If It’s Too Much.,The stock-market volatility in recent weeks is denting the portfolios of many in retirement.,,,,-3.85
The Wall Street Journal,WSJ,8304333127,MEDIA_NEWS_COMPANY,US,"Breaking news, investigative reporting, business coverage and features from The Wall Street Journal.",2/11/2008 22:26,2022-01-25 16:00:45 EST,1/25/2022,16:00:45,Link,38,16,12,2,0,0,6,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/8304333127/posts/10161619092928128,"After a gravity-defying year of stock gains, a steep drop in AMC’s securities underscores the cinema giant’s ongoing challenges.",https://on.wsj.com/3AvxjC3,https://www.wsj.com/articles/amc-in-advanced-talks-to-refinance-debt-as-meme-stock-luster-fades-11643121676,,AMC in Advanced Talks to Refinance Debt as Meme-Stock Luster Fades,,,,,-9.24
