Page,Codename,URL,Total Interactions,Likes,Comments,Shares,Owned Post Views,Owned Views from Shares,Owned Total Views,Percentage Views from Owned Posts,Views on Shared Posts,Views While Live,Video Time,3-Min+ Videos,Loves,Wows,Hahas,Sads,Angrys,Cares,All Reactions,All Interaction Rate,Photos,Links,Statuses,Facebook Videos,Other Videos,Total Posts,Photo Posts,Link Posts,Status Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Posts Per Day,Page Likes,Page Growth,Page Growth %,Page Followers,Page Follower Growth,Page Follower Growth %,Interaction Rate Calculated With
The Wall Street Journal,WSJ,https://www.facebook.com/8304333127,"1,386,204","691,945","163,938","39,872",0,0,0,0%,0,0,0,0,"85,024","40,316","138,401","61,917","148,124","16,667","1,182,394",0.01%,--,0.01%,--,--,--,"1,438",0,"1,438",0,0,0,0,47.93,"6,646,283","4,888",0.07%,"6,973,195","23,076",0.33%,Followers
World Bank,worldbank,https://www.facebook.com/153371894688575,"14,084","9,634","1,806","1,871","280,206","1,870","282,076",99.34%,"1,839","33,533",35,1,549,45,42,15,11,111,"10,407",0.01%,0.01%,0.01%,0%,0.01%,--,77,32,13,4,25,3,0,2.57,"2,612,095",495,0.02%,"2,672,367",2,0%,Followers
H&R Block,hrblock,https://www.facebook.com/7723400562,"11,218","6,999","2,066","1,742","579,018","2,848","581,866",99.51%,0,0,3,0,174,41,96,12,49,39,"7,410",0.17%,0.34%,--,--,0.05%,--,12,5,0,0,7,0,0,0.4,"552,654",479,0.09%,"547,704",542,0.1%,Followers
Allied Bank Limited,alliedbankpk,https://www.facebook.com/251084101664648,"8,833","7,501",681,409,"207,441","1,324","208,765",99.37%,992,0,9,0,205,0,4,2,3,28,"7,743",0.01%,0.01%,0%,0.01%,0.02%,--,74,57,1,1,11,4,0,2.47,"1,063,190",-190,-0.02%,"1,095,180",117,0.01%,Followers
Bank of America,BankofAmerica,https://www.facebook.com/179590995428478,"4,686","1,864","2,226",420,"37,094","10,781","47,875",77.48%,"5,414",0,1,0,126,5,6,3,28,8,"2,040",0.02%,0.02%,--,--,0.01%,--,11,3,0,0,7,1,0,0.37,"2,834,190",-310,-0.01%,"2,779,293",-113,-0%,Followers
Wells Fargo,wellsfargo,https://www.facebook.com/152789358067261,"3,990","2,209","1,232",257,"186,804",118,"186,922",99.94%,0,0,1,0,211,5,10,1,28,37,"2,501",0.02%,0.02%,0.02%,--,0.03%,--,20,12,4,0,4,0,0,0.67,"1,123,417","1,104",0.1%,"1,141,998","1,382",0.12%,Followers
Capital One,capitalone,https://www.facebook.com/131080263606125,"3,242","1,509","1,269",119,"139,628",861,"140,489",99.39%,0,0,2,0,225,17,41,1,51,10,"1,854",0%,0.01%,0%,--,0%,--,17,2,4,0,11,0,0,0.57,"4,196,381","-1,559",-0.04%,"3,952,712","-1,386",-0.04%,Followers
Chase,chase,https://www.facebook.com/603730309652930,"2,233","1,145",736,161,"94,205",164,"94,369",99.83%,"15,161",0,1,0,79,5,9,3,90,5,"1,336",0%,0.01%,--,--,0%,--,13,4,0,0,8,1,0,0.43,"3,905,738","-2,394",-0.06%,"3,702,626","-2,230",-0.06%,Followers
Scotiabank,scotiabank,https://www.facebook.com/144658705550734,"1,815","1,103",474,133,"411,457","1,113","412,570",99.73%,0,0,3,0,23,11,36,1,30,4,"1,208",0.03%,0.05%,0.01%,--,0.02%,--,9,2,2,0,5,0,0,0.3,"798,674",-133,-0.02%,"778,710",-91,-0.01%,Followers
Morgan Stanley,morganstanley,https://www.facebook.com/293511771033062,"1,600","1,268",133,85,"3,942",119,"4,061",97.07%,0,0,45,4,46,14,29,6,2,17,"1,382",0.06%,0.08%,0.04%,--,0.04%,0.04%,28,12,7,0,8,0,1,0.93,"100,900",364,0.36%,"112,204",492,0.44%,Followers
